0 0
5.000000e-03 1.586021e-05 2.243017e-05
1.000000e-02 3.171787e-05 4.485939e-05
1.500000e-02 4.757110e-05 6.728768e-05
2.000000e-02 6.341805e-05 8.971506e-05
2.500000e-02 7.925686e-05 1.121416e-04
3.000000e-02 9.508567e-05 1.345672e-04
3.500000e-02 1.109026e-04 1.569920e-04
4.000000e-02 1.267060e-04 1.794160e-04
4.500000e-02 1.424938e-04 2.018391e-04
5.000000e-02 1.582643e-04 2.242616e-04
5.500000e-02 1.740157e-04 2.466832e-04
6.000000e-02 1.897462e-04 2.691042e-04
6.500000e-02 2.054541e-04 2.915244e-04
7.000000e-02 2.211376e-04 3.139440e-04
7.500000e-02 2.367949e-04 3.363629e-04
8.000000e-02 2.524244e-04 3.587811e-04
8.500000e-02 2.680244e-04 3.811988e-04
9.000000e-02 2.835932e-04 4.036159e-04
9.500000e-02 2.991291e-04 4.260324e-04
1.000000e-01 3.146306e-04 4.484483e-04
1.050000e-01 3.300961e-04 4.708638e-04
1.100000e-01 3.455240e-04 4.932787e-04
1.150000e-01 3.609127e-04 5.156932e-04
1.200000e-01 3.762608e-04 5.381071e-04
1.250000e-01 3.915667e-04 5.605207e-04
1.300000e-01 4.068291e-04 5.829338e-04
1.350000e-01 4.220465e-04 6.053466e-04
1.400000e-01 4.372176e-04 6.277589e-04
1.450000e-01 4.523410e-04 6.501709e-04
1.500000e-01 4.674153e-04 6.725826e-04
1.550000e-01 4.824394e-04 6.949940e-04
1.600000e-01 4.974119e-04 7.174050e-04
1.650000e-01 5.123317e-04 7.398158e-04
1.700000e-01 5.271975e-04 7.622264e-04
1.750000e-01 5.420084e-04 7.846366e-04
1.800000e-01 5.567631e-04 8.070467e-04
1.850000e-01 5.714605e-04 8.294566e-04
1.900000e-01 5.860998e-04 8.518663e-04
1.950000e-01 6.006799e-04 8.742758e-04
2.000000e-01 6.151998e-04 8.966852e-04
2.050000e-01 6.296587e-04 9.190944e-04
2.100000e-01 6.440556e-04 9.415036e-04
2.150000e-01 6.583898e-04 9.639126e-04
2.200000e-01 6.726605e-04 9.863215e-04
2.250000e-01 6.868669e-04 1.008730e-03
2.300000e-01 7.010083e-04 1.031139e-03
2.350000e-01 7.150840e-04 1.053548e-03
2.400000e-01 7.290934e-04 1.075957e-03
2.450000e-01 7.430358e-04 1.098366e-03
2.500000e-01 7.569109e-04 1.120774e-03
2.550000e-01 7.707179e-04 1.143183e-03
2.600000e-01 7.844565e-04 1.165592e-03
2.650000e-01 7.981261e-04 1.188001e-03
2.700000e-01 8.117265e-04 1.210410e-03
2.750000e-01 8.252571e-04 1.232819e-03
2.800000e-01 8.387177e-04 1.255228e-03
2.850000e-01 8.521079e-04 1.277638e-03
2.900000e-01 8.654276e-04 1.300047e-03
2.950000e-01 8.786764e-04 1.322456e-03
3.000000e-01 8.918541e-04 1.344866e-03
3.050000e-01 9.049607e-04 1.367276e-03
3.100000e-01 9.179960e-04 1.389686e-03
3.150000e-01 9.309598e-04 1.412096e-03
3.200000e-01 9.438521e-04 1.434506e-03
3.250000e-01 9.566729e-04 1.456917e-03
3.300000e-01 9.694221e-04 1.479327e-03
3.350000e-01 9.820999e-04 1.501738e-03
3.400000e-01 9.947062e-04 1.524149e-03
3.450000e-01 1.007241e-03 1.546560e-03
3.500000e-01 1.019705e-03 1.568972e-03
3.550000e-01 1.032097e-03 1.591384e-03
3.600000e-01 1.044419e-03 1.613796e-03
3.650000e-01 1.056670e-03 1.636208e-03
3.700000e-01 1.068850e-03 1.658620e-03
3.750000e-01 1.080960e-03 1.681033e-03
3.800000e-01 1.093001e-03 1.703446e-03
3.850000e-01 1.104971e-03 1.725859e-03
3.900000e-01 1.116872e-03 1.748272e-03
3.950000e-01 1.128704e-03 1.770686e-03
4.000000e-01 1.140467e-03 1.793100e-03
4.050000e-01 1.152162e-03 1.815514e-03
4.100000e-01 1.163789e-03 1.837929e-03
4.150000e-01 1.175348e-03 1.860343e-03
4.200000e-01 1.186840e-03 1.882758e-03
4.250000e-01 1.198266e-03 1.905173e-03
4.300000e-01 1.209626e-03 1.927589e-03
4.350000e-01 1.220920e-03 1.950005e-03
4.400000e-01 1.232149e-03 1.972421e-03
4.450000e-01 1.243313e-03 1.994837e-03
4.500000e-01 1.254413e-03 2.017253e-03
4.550000e-01 1.265450e-03 2.039670e-03
4.600000e-01 1.276424e-03 2.062087e-03
4.650000e-01 1.287335e-03 2.084504e-03
4.700000e-01 1.298184e-03 2.106922e-03
4.750000e-01 1.308973e-03 2.129339e-03
4.800000e-01 1.319701e-03 2.151757e-03
4.850000e-01 1.330369e-03 2.174175e-03
4.900000e-01 1.340978e-03 2.196593e-03
4.950000e-01 1.351528e-03 2.219012e-03
5.000000e-01 1.362020e-03 2.241430e-03
5.050000e-01 1.372455e-03 2.263849e-03
5.100000e-01 1.382833e-03 2.286268e-03
5.150000e-01 1.393155e-03 2.308687e-03
5.200000e-01 1.403422e-03 2.331106e-03
5.250000e-01 1.413635e-03 2.353526e-03
5.300000e-01 1.423793e-03 2.375945e-03
5.350000e-01 1.433899e-03 2.398365e-03
5.400000e-01 1.443952e-03 2.420784e-03
5.450000e-01 1.453953e-03 2.443204e-03
5.500000e-01 1.463904e-03 2.465624e-03
5.550000e-01 1.473804e-03 2.488044e-03
5.600000e-01 1.483655e-03 2.510464e-03
5.650000e-01 1.493457e-03 2.532884e-03
5.700000e-01 1.503211e-03 2.555303e-03
5.750000e-01 1.512918e-03 2.577723e-03
5.800000e-01 1.522578e-03 2.600143e-03
5.850000e-01 1.532193e-03 2.622563e-03
5.900000e-01 1.541762e-03 2.644983e-03
5.950000e-01 1.551288e-03 2.667402e-03
6.000000e-01 1.560769e-03 2.689822e-03
6.050000e-01 1.570209e-03 2.712241e-03
6.100000e-01 1.579606e-03 2.734660e-03
6.150000e-01 1.588962e-03 2.757079e-03
6.200000e-01 1.598277e-03 2.779498e-03
6.250000e-01 1.607553e-03 2.801917e-03
6.300000e-01 1.616790e-03 2.824335e-03
6.350000e-01 1.625989e-03 2.846753e-03
6.400000e-01 1.635151e-03 2.869171e-03
6.450000e-01 1.644276e-03 2.891589e-03
6.500000e-01 1.653365e-03 2.914006e-03
6.550000e-01 1.662419e-03 2.936423e-03
6.600000e-01 1.671439e-03 2.958839e-03
6.650000e-01 1.680425e-03 2.981255e-03
6.700000e-01 1.689378e-03 3.003670e-03
6.750000e-01 1.698300e-03 3.026086e-03
6.800000e-01 1.707190e-03 3.048500e-03
6.850000e-01 1.716049e-03 3.070914e-03
6.900000e-01 1.724879e-03 3.093328e-03
6.950000e-01 1.733679e-03 3.115740e-03
7.000000e-01 1.742452e-03 3.138153e-03
7.050000e-01 1.751197e-03 3.160564e-03
7.100000e-01 1.759915e-03 3.182975e-03
7.150000e-01 1.768607e-03 3.205385e-03
7.200000e-01 1.777274e-03 3.227795e-03
7.250000e-01 1.785916e-03 3.250204e-03
7.300000e-01 1.794534e-03 3.272612e-03
7.350000e-01 1.803129e-03 3.295019e-03
7.400000e-01 1.811702e-03 3.317425e-03
7.450000e-01 1.820253e-03 3.339830e-03
7.500000e-01 1.828783e-03 3.362234e-03
7.550000e-01 1.837293e-03 3.384637e-03
7.600000e-01 1.845784e-03 3.407040e-03
7.650000e-01 1.854256e-03 3.429441e-03
7.700000e-01 1.862709e-03 3.451841e-03
7.750000e-01 1.871146e-03 3.474240e-03
7.800000e-01 1.879565e-03 3.496638e-03
7.850000e-01 1.887969e-03 3.519034e-03
7.900000e-01 1.896358e-03 3.541430e-03
7.950000e-01 1.904732e-03 3.563824e-03
8.000000e-01 1.913092e-03 3.586217e-03
8.050000e-01 1.921439e-03 3.608608e-03
8.100000e-01 1.929773e-03 3.630998e-03
8.150000e-01 1.938096e-03 3.653386e-03
8.200000e-01 1.946407e-03 3.675773e-03
8.250000e-01 1.954708e-03 3.698159e-03
8.300000e-01 1.963000e-03 3.720543e-03
8.350000e-01 1.971282e-03 3.742925e-03
8.400000e-01 1.979556e-03 3.765306e-03
8.450000e-01 1.987822e-03 3.787685e-03
8.500000e-01 1.996081e-03 3.810062e-03
8.550000e-01 2.004333e-03 3.832437e-03
8.600000e-01 2.012580e-03 3.854811e-03
8.650000e-01 2.020822e-03 3.877182e-03
8.700000e-01 2.029059e-03 3.899552e-03
8.750000e-01 2.037293e-03 3.921920e-03
8.800000e-01 2.045523e-03 3.944286e-03
8.850000e-01 2.053751e-03 3.966650e-03
8.900000e-01 2.061977e-03 3.989011e-03
8.950000e-01 2.070202e-03 4.011371e-03
9.000000e-01 2.078426e-03 4.033728e-03
9.050000e-01 2.086650e-03 4.056083e-03
9.100000e-01 2.094875e-03 4.078436e-03
9.150000e-01 2.103101e-03 4.100786e-03
9.200000e-01 2.111329e-03 4.123134e-03
9.250000e-01 2.119560e-03 4.145480e-03
9.300000e-01 2.127794e-03 4.167823e-03
9.350000e-01 2.136031e-03 4.190163e-03
9.400000e-01 2.144273e-03 4.212501e-03
9.450000e-01 2.152521e-03 4.234837e-03
9.500000e-01 2.160773e-03 4.257169e-03
9.550000e-01 2.169032e-03 4.279499e-03
9.600000e-01 2.177298e-03 4.301827e-03
9.650000e-01 2.185572e-03 4.324151e-03
9.700000e-01 2.193853e-03 4.346472e-03
9.750000e-01 2.202144e-03 4.368791e-03
9.800000e-01 2.210443e-03 4.391107e-03
9.850000e-01 2.218753e-03 4.413419e-03
9.900000e-01 2.227073e-03 4.435729e-03
9.950000e-01 2.235404e-03 4.458035e-03
1.000000e+00 2.243747e-03 4.480338e-03
1.005000e+00 2.252102e-03 4.502638e-03
1.010000e+00 2.260470e-03 4.524935e-03
1.015000e+00 2.268852e-03 4.547228e-03
1.020000e+00 2.277247e-03 4.569518e-03
1.025000e+00 2.285658e-03 4.591805e-03
1.030000e+00 2.294083e-03 4.614088e-03
1.035000e+00 2.302525e-03 4.636367e-03
1.040000e+00 2.310983e-03 4.658643e-03
1.045000e+00 2.319458e-03 4.680916e-03
1.050000e+00 2.327950e-03 4.703184e-03
1.055000e+00 2.336461e-03 4.725449e-03
1.060000e+00 2.344991e-03 4.747710e-03
1.065000e+00 2.353540e-03 4.769968e-03
1.070000e+00 2.362109e-03 4.792221e-03
1.075000e+00 2.370699e-03 4.814470e-03
1.080000e+00 2.379310e-03 4.836716e-03
1.085000e+00 2.387942e-03 4.858957e-03
1.090000e+00 2.396597e-03 4.881194e-03
1.095000e+00 2.405275e-03 4.903428e-03
1.100000e+00 2.413977e-03 4.925656e-03
1.105000e+00 2.422702e-03 4.947881e-03
1.110000e+00 2.431452e-03 4.970102e-03
1.115000e+00 2.440228e-03 4.992318e-03
1.120000e+00 2.449029e-03 5.014529e-03
1.125000e+00 2.457856e-03 5.036736e-03
1.130000e+00 2.466711e-03 5.058939e-03
1.135000e+00 2.475594e-03 5.081137e-03
1.140000e+00 2.484504e-03 5.103331e-03
1.145000e+00 2.493443e-03 5.125519e-03
1.150000e+00 2.502412e-03 5.147704e-03
1.155000e+00 2.511411e-03 5.169883e-03
1.160000e+00 2.520440e-03 5.192058e-03
1.165000e+00 2.529501e-03 5.214227e-03
1.170000e+00 2.538593e-03 5.236392e-03
1.175000e+00 2.547718e-03 5.258552e-03
1.180000e+00 2.556875e-03 5.280707e-03
1.185000e+00 2.566066e-03 5.302857e-03
1.190000e+00 2.575292e-03 5.325001e-03
1.195000e+00 2.584552e-03 5.347141e-03
1.200000e+00 2.593847e-03 5.369275e-03
1.205000e+00 2.603178e-03 5.391404e-03
1.210000e+00 2.612546e-03 5.413528e-03
1.215000e+00 2.621951e-03 5.435647e-03
1.220000e+00 2.631394e-03 5.457760e-03
1.225000e+00 2.640876e-03 5.479867e-03
1.230000e+00 2.650396e-03 5.501970e-03
1.235000e+00 2.659956e-03 5.524066e-03
1.240000e+00 2.669556e-03 5.546157e-03
1.245000e+00 2.679198e-03 5.568243e-03
1.250000e+00 2.688880e-03 5.590323e-03
1.255000e+00 2.698605e-03 5.612397e-03
1.260000e+00 2.708373e-03 5.634465e-03
1.265000e+00 2.718184e-03 5.656528e-03
1.270000e+00 2.728039e-03 5.678585e-03
1.275000e+00 2.737938e-03 5.700635e-03
1.280000e+00 2.747883e-03 5.722680e-03
1.285000e+00 2.757874e-03 5.744719e-03
1.290000e+00 2.767912e-03 5.766753e-03
1.295000e+00 2.777997e-03 5.788779e-03
1.300000e+00 2.788130e-03 5.810800e-03
1.305000e+00 2.798311e-03 5.832815e-03
1.310000e+00 2.808542e-03 5.854824e-03
1.315000e+00 2.818822e-03 5.876826e-03
1.320000e+00 2.829153e-03 5.898822e-03
1.325000e+00 2.839535e-03 5.920812e-03
1.330000e+00 2.849969e-03 5.942796e-03
1.335000e+00 2.860456e-03 5.964773e-03
1.340000e+00 2.870996e-03 5.986744e-03
1.345000e+00 2.881590e-03 6.008708e-03
1.350000e+00 2.892239e-03 6.030666e-03
1.355000e+00 2.902943e-03 6.052618e-03
1.360000e+00 2.913703e-03 6.074563e-03
1.365000e+00 2.924520e-03 6.096501e-03
1.370000e+00 2.935394e-03 6.118433e-03
1.375000e+00 2.946326e-03 6.140358e-03
1.380000e+00 2.957318e-03 6.162277e-03
1.385000e+00 2.968369e-03 6.184189e-03
1.390000e+00 2.979480e-03 6.206094e-03
1.395000e+00 2.990652e-03 6.227992e-03
1.400000e+00 3.001887e-03 6.249884e-03
1.405000e+00 3.013183e-03 6.271769e-03
1.410000e+00 3.024544e-03 6.293646e-03
1.415000e+00 3.035968e-03 6.315518e-03
1.420000e+00 3.047457e-03 6.337382e-03
1.425000e+00 3.059011e-03 6.359239e-03
1.430000e+00 3.070632e-03 6.381089e-03
1.435000e+00 3.082321e-03 6.402933e-03
1.440000e+00 3.094077e-03 6.424769e-03
1.445000e+00 3.105901e-03 6.446599e-03
1.450000e+00 3.117796e-03 6.468421e-03
1.455000e+00 3.129760e-03 6.490236e-03
1.460000e+00 3.141796e-03 6.512045e-03
1.465000e+00 3.153904e-03 6.533846e-03
1.470000e+00 3.166084e-03 6.555640e-03
1.475000e+00 3.178338e-03 6.577427e-03
1.480000e+00 3.190667e-03 6.599207e-03
1.485000e+00 3.203071e-03 6.620979e-03
1.490000e+00 3.215550e-03 6.642745e-03
1.495000e+00 3.228107e-03 6.664503e-03
1.500000e+00 3.240742e-03 6.686254e-03
1.505000e+00 3.253455e-03 6.707998e-03
1.510000e+00 3.266248e-03 6.729734e-03
1.515000e+00 3.279122e-03 6.751464e-03
1.520000e+00 3.292076e-03 6.773186e-03
1.525000e+00 3.305114e-03 6.794901e-03
1.530000e+00 3.318234e-03 6.816608e-03
1.535000e+00 3.331438e-03 6.838308e-03
1.540000e+00 3.344727e-03 6.860001e-03
1.545000e+00 3.358102e-03 6.881687e-03
1.550000e+00 3.371564e-03 6.903365e-03
1.555000e+00 3.385114e-03 6.925036e-03
1.560000e+00 3.398753e-03 6.946700e-03
1.565000e+00 3.412481e-03 6.968356e-03
1.570000e+00 3.426301e-03 6.990006e-03
1.575000e+00 3.440211e-03 7.011647e-03
1.580000e+00 3.454215e-03 7.033282e-03
1.585000e+00 3.468312e-03 7.054909e-03
1.590000e+00 3.482504e-03 7.076529e-03
1.595000e+00 3.496791e-03 7.098141e-03
1.600000e+00 3.511176e-03 7.119747e-03
1.605000e+00 3.525658e-03 7.141345e-03
1.610000e+00 3.540239e-03 7.162935e-03
1.615000e+00 3.554920e-03 7.184518e-03
1.620000e+00 3.569701e-03 7.206095e-03
1.625000e+00 3.584585e-03 7.227663e-03
1.630000e+00 3.599572e-03 7.249225e-03
1.635000e+00 3.614663e-03 7.270779e-03
1.640000e+00 3.629859e-03 7.292326e-03
1.645000e+00 3.645162e-03 7.313866e-03
1.650000e+00 3.660572e-03 7.335398e-03
1.655000e+00 3.676091e-03 7.356924e-03
1.660000e+00 3.691720e-03 7.378442e-03
1.665000e+00 3.707460e-03 7.399953e-03
1.670000e+00 3.723312e-03 7.421457e-03
1.675000e+00 3.739277e-03 7.442953e-03
