0 0
1.000000e-01 9.428590e-03 1.343873e-02
2.000000e-01 1.867795e-02 2.722407e-02
3.000000e-01 2.743489e-02 4.137028e-02
4.000000e-01 3.554848e-02 5.589112e-02
5.000000e-01 4.302157e-02 7.079915e-02
6.000000e-01 4.996261e-02 8.610529e-02
7.000000e-01 5.653444e-02 1.018184e-01
8.000000e-01 6.291869e-02 1.179452e-01
9.000000e-01 6.929772e-02 1.344903e-01
1.000000e+00 7.584910e-02 1.514563e-01
1.100000e+00 8.274764e-02 1.688444e-01
1.200000e+00 9.017131e-02 1.866550e-01
1.300000e+00 9.830926e-02 2.048884e-01
1.400000e+00 1.073714e-01 2.235457e-01
1.500000e+00 1.175995e-01 2.426296e-01
1.600000e+00 1.292797e-01 2.621455e-01
1.700000e+00 1.427577e-01 2.821020e-01
1.800000e+00 1.584550e-01 3.025119e-01
1.900000e+00 1.768856e-01 3.233926e-01
2.000000e+00 1.986672e-01 3.447664e-01
2.100000e+00 2.245149e-01 3.666605e-01
2.200000e+00 2.551866e-01 3.891065e-01
2.300000e+00 2.913213e-01 4.121406e-01
2.400000e+00 3.330692e-01 4.358020e-01
2.500000e+00 3.794000e-01 4.601321e-01
2.600000e+00 4.271578e-01 4.851736e-01
2.700000e+00 4.705490e-01 5.109684e-01
2.800000e+00 5.024782e-01 5.375570e-01
2.900000e+00 5.181374e-01 5.649763e-01
3.000000e+00 5.179558e-01 5.932588e-01
3.100000e+00 5.066909e-01 6.224314e-01
3.200000e+00 4.900978e-01 6.525146e-01
3.300000e+00 4.725893e-01 6.835220e-01
3.400000e+00 4.567724e-01 7.154599e-01
3.500000e+00 4.439093e-01 7.483281e-01
3.600000e+00 4.344854e-01 7.821202e-01
3.700000e+00 4.286096e-01 8.168245e-01
3.800000e+00 4.262453e-01 8.524259e-01
3.900000e+00 4.273321e-01 8.889066e-01
4.000000e+00 4.318466e-01 9.262486e-01
4.100000e+00 4.398337e-01 9.644353e-01
4.200000e+00 4.514236e-01 1.003454e+00
4.300000e+00 4.668456e-01 1.043295e+00
4.400000e+00 4.864405e-01 1.083959e+00
4.500000e+00 5.106762e-01 1.125452e+00
4.600000e+00 5.401654e-01 1.167791e+00
4.700000e+00 5.756846e-01 1.211004e+00
4.800000e+00 6.181907e-01 1.255128e+00
4.900000e+00 6.688244e-01 1.300212e+00
5.000000e+00 7.288800e-01 1.346314e+00
5.100000e+00 7.996990e-01 1.393502e+00
5.200000e+00 8.824141e-01 1.441853e+00
5.300000e+00 9.774229e-01 1.491447e+00
5.400000e+00 1.083459e+00 1.542369e+00
5.500000e+00 1.196258e+00 1.594707e+00
5.600000e+00 1.307307e+00 1.648545e+00
5.700000e+00 1.404081e+00 1.703966e+00
5.800000e+00 1.473411e+00 1.761046e+00
5.900000e+00 1.507353e+00 1.819854e+00
6.000000e+00 1.507179e+00 1.880450e+00
6.100000e+00 1.481835e+00 1.942883e+00
6.200000e+00 1.442826e+00 2.007191e+00
6.300000e+00 1.399988e+00 2.073402e+00
6.400000e+00 1.359992e+00 2.141534e+00
6.500000e+00 1.326692e+00 2.211597e+00
6.600000e+00 1.302036e+00 2.283591e+00
6.700000e+00 1.286889e+00 2.357515e+00
6.800000e+00 1.281598e+00 2.433363e+00
6.900000e+00 1.286332e+00 2.511129e+00
7.000000e+00 1.301277e+00 2.590811e+00
7.100000e+00 1.326746e+00 2.672413e+00
7.200000e+00 1.363236e+00 2.755947e+00
7.300000e+00 1.411465e+00 2.841435e+00
7.400000e+00 1.472375e+00 2.928912e+00
7.500000e+00 1.547124e+00 3.018425e+00
7.600000e+00 1.637022e+00 3.110037e+00
7.700000e+00 1.743399e+00 3.203825e+00
7.800000e+00 1.867344e+00 3.299878e+00
7.900000e+00 2.009231e+00 3.398300e+00
8.000000e+00 2.167955e+00 3.499204e+00
8.100000e+00 2.339853e+00 3.602713e+00
8.200000e+00 2.517483e+00 3.708955e+00
8.300000e+00 2.688919e+00 3.818061e+00
8.400000e+00 2.838671e+00 3.930162e+00
8.500000e+00 2.951165e+00 4.045386e+00
8.600000e+00 3.016025e+00 4.163854e+00
8.700000e+00 3.032138e+00 4.285678e+00
8.800000e+00 3.007584e+00 4.410962e+00
8.900000e+00 2.955748e+00 4.539796e+00
9.000000e+00 2.890618e+00 4.672256e+00
9.100000e+00 2.823760e+00 4.808408e+00
9.200000e+00 2.763402e+00 4.948304e+00
9.300000e+00 2.714833e+00 5.091985e+00
9.400000e+00 2.681251e+00 5.239487e+00
9.500000e+00 2.664578e+00 5.390837e+00
9.600000e+00 2.666094e+00 5.546061e+00
9.700000e+00 2.686888e+00 5.705188e+00
9.800000e+00 2.728161e+00 5.868248e+00
9.900000e+00 2.791456e+00 6.035286e+00
1.000000e+01 2.878841e+00 6.206353e+00
1.010000e+01 2.993095e+00 6.381519e+00
1.020000e+01 3.137902e+00 6.560872e+00
1.030000e+01 3.318077e+00 6.744518e+00
1.040000e+01 3.539847e+00 6.932588e+00
1.050000e+01 3.811135e+00 7.125230e+00
1.060000e+01 4.141821e+00 7.322617e+00
1.070000e+01 4.543760e+00 7.524939e+00
1.080000e+01 5.030115e+00 7.732406e+00
1.090000e+01 5.612962e+00 7.945240e+00
1.100000e+01 6.297163e+00 8.163676e+00
1.110000e+01 7.067544e+00 8.387957e+00
1.120000e+01 7.868295e+00 8.618325e+00
1.130000e+01 8.585500e+00 8.855025e+00
1.140000e+01 9.066479e+00 9.098295e+00
1.150000e+01 9.200824e+00 9.348361e+00
1.160000e+01 9.001026e+00 9.605440e+00
1.170000e+01 8.584067e+00 9.869731e+00
1.180000e+01 8.083668e+00 1.014142e+01
1.190000e+01 7.592764e+00 1.042067e+01
1.200000e+01 7.158304e+00 1.070763e+01
1.210000e+01 6.797153e+00 1.100243e+01
1.220000e+01 6.511079e+00 1.130520e+01
1.230000e+01 6.295803e+00 1.161605e+01
1.240000e+01 6.145520e+00 1.193507e+01
1.250000e+01 6.054890e+00 1.226237e+01
1.260000e+01 6.019816e+00 1.259805e+01
1.270000e+01 6.037685e+00 1.294224e+01
1.280000e+01 6.107404e+00 1.329505e+01
1.290000e+01 6.229381e+00 1.365664e+01
1.300000e+01 6.405498e+00 1.402718e+01
1.310000e+01 6.639112e+00 1.440685e+01
1.320000e+01 6.935041e+00 1.479590e+01
1.330000e+01 7.299530e+00 1.519456e+01
1.340000e+01 7.740076e+00 1.560314e+01
1.350000e+01 8.264995e+00 1.602194e+01
1.360000e+01 8.882445e+00 1.645132e+01
1.370000e+01 9.598495e+00 1.689165e+01
1.380000e+01 1.041368e+01 1.734332e+01
1.390000e+01 1.131747e+01 1.780675e+01
1.400000e+01 1.228085e+01 1.828236e+01
1.410000e+01 1.324920e+01 1.877060e+01
