0 0
1.000000e-02 9.515340e-05 1.345779e-04
2.000000e-02 1.902865e-04 2.691909e-04
3.000000e-02 2.853546e-04 4.038397e-04
4.000000e-02 3.803134e-04 5.385248e-04
5.000000e-02 4.751189e-04 6.732467e-04
6.000000e-02 5.697277e-04 8.080061e-04
7.000000e-02 6.640970e-04 9.428034e-04
8.000000e-02 7.581850e-04 1.077639e-03
9.000000e-02 8.519506e-04 1.212514e-03
1.000000e-01 9.453539e-04 1.347429e-03
1.100000e-01 1.038356e-03 1.482384e-03
1.200000e-01 1.130920e-03 1.617379e-03
1.300000e-01 1.223010e-03 1.752416e-03
1.400000e-01 1.314590e-03 1.887494e-03
1.500000e-01 1.405628e-03 2.022615e-03
1.600000e-01 1.496093e-03 2.157778e-03
1.700000e-01 1.585954e-03 2.292984e-03
1.800000e-01 1.675183e-03 2.428235e-03
1.900000e-01 1.763756e-03 2.563529e-03
2.000000e-01 1.851645e-03 2.698868e-03
2.100000e-01 1.938831e-03 2.834252e-03
2.200000e-01 2.025290e-03 2.969682e-03
2.300000e-01 2.111006e-03 3.105157e-03
2.400000e-01 2.195959e-03 3.240679e-03
2.500000e-01 2.280136e-03 3.376247e-03
2.600000e-01 2.363522e-03 3.511862e-03
2.700000e-01 2.446107e-03 3.647525e-03
2.800000e-01 2.527880e-03 3.783236e-03
2.900000e-01 2.608833e-03 3.918994e-03
3.000000e-01 2.688960e-03 4.054801e-03
3.100000e-01 2.768255e-03 4.190656e-03
3.200000e-01 2.846717e-03 4.326560e-03
3.300000e-01 2.924342e-03 4.462514e-03
3.400000e-01 3.001132e-03 4.598516e-03
3.500000e-01 3.077086e-03 4.734568e-03
3.600000e-01 3.152209e-03 4.870670e-03
3.700000e-01 3.226503e-03 5.006821e-03
3.800000e-01 3.299974e-03 5.143023e-03
3.900000e-01 3.372628e-03 5.279274e-03
4.000000e-01 3.444473e-03 5.415575e-03
4.100000e-01 3.515517e-03 5.551927e-03
4.200000e-01 3.585770e-03 5.688329e-03
4.300000e-01 3.655243e-03 5.824781e-03
4.400000e-01 3.723946e-03 5.961284e-03
4.500000e-01 3.791891e-03 6.097836e-03
4.600000e-01 3.859092e-03 6.234439e-03
4.700000e-01 3.925562e-03 6.371091e-03
4.800000e-01 3.991315e-03 6.507794e-03
4.900000e-01 4.056366e-03 6.644546e-03
5.000000e-01 4.120730e-03 6.781348e-03
5.100000e-01 4.184423e-03 6.918200e-03
5.200000e-01 4.247461e-03 7.055100e-03
5.300000e-01 4.309860e-03 7.192050e-03
